	tconst	Budget	Box_Office	Star_1	Star_2	Star_3	Star_num1	Star_num2	Star_num3	primaryTitle	startYear	runtimeMinutes	genres	directors	writers	averageRating	numVotes	Story_Line	Ratio	Profitable
2447	tt0803057	8000000	457690	Seann William Scott	John C. Reilly	Chris Conrad	nm0005405	nm0000604	nm0175621	The Promotion	2008	86	Comedy	nm0175726	nm0175726	5.6	17593	At 33, Doug Stauber is ready for a promotion. He's married, wants to buy a house, and is assistant manager at a Chicago supermarket that's building a new store in his neighborhood. His boss tells him he's a shoo-in to manage the new store, then, a rival appears - Richard Wehlner, transferred from Canada. Richard has a deeper resume than Doug, is really nice, has a wife and daughter, and wants the promotion to manager too. How should Doug behave toward Richard - as a friend, a colleague, a competitor, or an enemy? Richard, it seems, has demons and a past, but with the help of motivational tapes, he's resolved to succeed. Corporate and personal tests await the two men.	0.057211242848594634	False
624	tt0286947	7000000	369194	Alicia Silverstone	Rachael Leigh Cook	Woody Harrelson	nm0000224	nm0000337	nm0000437	Scorched	2003	95	Comedy,Crime	nm0337157	nm1002184,nm1002185	6.0	6035	Three mischievous employees of a bank in a small deserted town all make plans to rob at the same time, however none of them knows about the others. Meanwhile, a clothing store employee has plans for revenge against a local millionaire.	0.05274199246542965	False
4759	tt2053463	30000000	63372757	Rooney Mara	Channing Tatum	Jude Law	nm1913734	nm1475594	nm0000179	Side Effects	2013	106	Crime,Drama,Mystery	nm0001752	nm1994243	7.1	170795	"Emily Taylor, despite being reunited with her husband from prison, becomes severely depressed with emotional episodes and suicide attempts. Her psychiatrist, Jonathan Banks, after conferring with her previous doctor, eventually prescribes an experimental new medication called Ablixa. The plot thickens when the side effects of the drug lead to Emily killing her husband in a ""sleepwalking"" state. With Emily plea-bargained into mental hospital confinement and Dr. Banks' practice crumbling around him, the case seems closed. However, Dr. Banks cannot accept full responsibility and investigates to clear his name. What follows is a dark quest that threatens to tear what's left of his life apart even as he discovers the diabolical truth of this tragedy."	2.1124251629191613	True
1753	tt0430919	11000000	839117	Stuart Townsend	Raphael Schwartz	Jacob Collier	nm0870204	nm2303057	nm1775528	The Best Man	2005	96	Comedy,Romance	nm0777447	nm1020914,nm0777447	6.0	3503	After Olly Pickering and his youth friend and dorm mate Murray graduate, Olly, a promising author, gets a contract and advance, which somehow kills his nerve, even about using urinals. Writer's block forces him to move into professionally successful Murray's Soho (London) spare room and take a crappy job as publishing research assistant. Asked as New York trip friend James's London wedding best man, Oly falls in love at the bachelor party. Alas the flirt turns out to be bride Sarah. Olly would graciously walk away, but sassy Murray keeps arranging, resourcefully, for them to meet and in the process gets on with her bitchy sister. Olly's moral reserve is reconsidered when James admits he isn't monogamous.	0.07628335670151302	False
1490	tt0400297	1730178	164178	Borja Elgea	Roger Pera	Paula Echevarría	nm0253374	nm0701812	nm1309844	El chocolate del loro	2004	90	Comedy	nm0554629	nm6385068,nm0702500,nm0554629,nm6385069	4.4	110	Emilio has to spend all summer cramming for an exam. He goes to his rich uncle's summer house to concentrate on his studies when some unexpected visitors arrive and make his life a complete living, funny,circus of a nightmare.	0.09489075985779506	False
5781	tt3945864	3000000	193040	Shaan Shahid	Humayun Saeed	Adnan Siddiqui	nm0787030	nm0755702	nm1482333	Yalghaar	2017	158	Action,Romance,War	nm4274636	nm4274636	7.3	932	"The film ""explores what happens in the lives of those involved, including the militants and how all of them are affected at a personal level because of the ongoing operation"""	0.06434664521778492	False
3356	tt1208713	2551159	1880719	Oskar Øiestad	Jonas Hoff Oftebro	Fridtjof Tangen	nm3027668	nm3026834	nm3026795	Olsenbanden jr. og det sorte gullet	2009	88	Family	nm0639021	nm0639021,nm0639032	4.6	124	In the beginning of the sixties, Egon persuades his friends to buy oil stocks, and has to battle crooks who try to give fake information about the oil tests in in North Sea.	0.7372015083334641	False
1672	tt0421994	7900000	2635305	Piper Perabo	Lena Headey	Matthew Goode	nm0005305	nm0372176	nm0328828	Imagine Me & You	2005	90	Comedy,Drama,Romance	nm0662530	nm0662530	6.8	27965	Rachel is a nice girl who is going to marry with Hector ('Heck'), her longtime boyfriend. While she is working in the wedding preparations she meets Luce, wedding's florist, unexpectedly falling in love to her and discovering what is having love feeling to another woman. Unable to stop her Rachel meets Luce a few times hiding it to her family, specially her mother Tessa because she contracted Luce. At the same time that Heck tries to win the affection of his parents-in-law, above all the eccentric father-in-law Ned, Rachel tries following with the daily life and marriage with her husband, but the love and passion she feels for Luce causes a secret affair between both women, and a doubt in Rachel about the life she wants for herself.	0.3335828691667254	False
4414	tt1731756	165000	168454	Adrian Alonso	Mauricio Kuri	Juan Carlos Olalde	nm1739844	nm4298048	nm1166757	Treasure Hunters	2011	90	Adventure,Family	nm0735872	nm0522383,nm1814060	5.5	27	Erik is a twelve year old boy whose passion revolves between his lovely friend, Andrea and a master's skill for skateboarding. His family has financial troubles and is about to loose the family business. Erik, himself has his share of problems when the local gang tries to make him a part of their deals. Erik can take care of himself, but not Omar, Andrea's kid brother, who becomes the target of the day for the gang... Erik can't help but save the day to impress Andrea, but while at it ends up with Deik, the leader following them into a dark warehouse. In it, the kids have a curious encounter of sorts when they come upon a murder. Nathan, a sacred art dealer, has just killed Cliserio, a historian, in order to rob a map that promises to lead him to Hidalgo's lost treasure. But before Cliserio expires, he manages to rip the map and his half end up in Erik's backpack. Nathan has seen the kids and he knows that they have his other half of the map... This is the introduction to an adventure...	1.0209271458960856	True
1354	tt0383574	225000000	1066179725	Johnny Depp	Orlando Bloom	Keira Knightley	nm0000136	nm0089217	nm0461136	Pirates of the Caribbean: Dead Man's Chest	2006	151	Action,Adventure,Fantasy	nm0893659	nm0254645,nm0744429,nm0064181,nm0938684	7.3	621035	"Once again we're plunged into the world of sword fights and ""savvy"" pirates. Captain Jack Sparrow is reminded he owes a debt to Davy Jones, who captains the flying Dutchman, a ghostly ship, with a crew from hell. Facing the ""locker"" Jack must find the heart of Davy Jones but to save himself he must get the help of quick-witted Will Turner and Elizabeth Swan. If that's not complicated enough, Will and Elizabeth are sentenced to hang, unless Will can get Lord Cutler Beckett Jack's compass. Will is forced to join another crazy adventure with Jack."	4.738576534495214	True
1130	tt0361925	30000000	14615099	Gene Hackman	Ray Romano	Maura Tierney	nm0000432	nm0005380	nm0005491	Welcome to Mooseport	2004	110	Comedy,Romance	nm0677953	nm0724514,nm0776114	5.2	11765	"Monroe ""Eagle"" Cole is a former U.S. President ready to settle into a quaint little town named Mooseport. He's ready to take in the lion's share of endorsement deals and speaking engagements while developing his own presidential library. Meanwhile, Handy Harrison is a local hardware store owner with a girlfriend ready to throw in the towel on their relationship. Just as Monroe is offered the local mayor's position, he's found an unlikely opponent in Handy. But ultimately, both men have a lot to lose when the stakes are raised and a simple competition turns into an all out war."	0.4871699504276683	False
1447	tt0396041	100000	12604	Jeffrey Gilbert	Tim Gouran	Todd Licea	nm1296046	nm1483228	nm0508970	Gory Gory Hallelujah	2003	96	Comedy,Fantasy,Horror	nm1543860	nm1543324	4.2	200	Four actors compete for the role of Jesus - a black revolutionary, a bisexual hippie, a Jew, and a feminist. When all four are rejected, they hit the road on bad-ass motorcycles, bound for glory in New York City. But when a run-in with a gang of Elvises ends in murder, they find themselves taken prisoner in a little town called Jackville - where folk don't take kindly to blasphemers. The Jesuses fall prey to an evil conspiracy that can only lead to the Apocalypse.	0.12603873961260387	False
6442	tt6899268	910620	130446	Déborah François	Paul Hamy	Daniel Martin	nm1918862	nm5524273	nm0552134	Territory of Love	2018	97	Drama,Romance	nm2170681	nm2170681	6.6	60	Maria is 30, she is impatient, rebellious, and expert in Dutch. Olivier is the same age, he is slow, shy and speaks fourteen languages. They meet in Taiwan. And then suddenly, the new lightning. It's their story. That of the incredible strength of a love. And that of its confines, where everything begins to let go. Except Maria.	0.14324949677198304	False
2282	tt0494271	8094400	6863633	Kseniya Rappoport	Michele Placido	Claudia Gerini	nm0710938	nm0686375	nm0314358	The Unknown Woman	2006	118	Drama,Mystery,Thriller	nm0868153	nm0868153,nm0211160	7.4	12840	A Ukrainian woman named Irena calculatedly insinuates herself into the lives of a young, affluent Italian family. Stopping at nothing to become the couple's trusted maid and the beloved nanny to their fragile young daughter, Irena risks everything in her quest to uncover the truth about the family. Like an intricately constructed jigsaw puzzle, The Unknown Woman reveals piece by piece the enigma of Irena's past.	0.8479482298937253	False
1041	tt0346765	1315340	1563152	Norma Aleandro	Natalia Oreiro	Leonardo Sbaraglia	nm0001903	nm0649638	nm0768614	Cleopatra	2003	104	Comedy,Drama	nm0586002	nm1282677,nm0586002	6.7	557	A retired teacher and a soap star leave their routines and the men in their lives behind and embark on a weekend trip.	1.1884005744517965	True
4491	tt1798709	23000000	47351251	Joaquin Phoenix	Amy Adams	Scarlett Johansson	nm0001618	nm0010736	nm0424060	Her	2013	126	Drama,Romance,Sci-Fi	nm0005069	nm0005069	8.0	480918	"Theodore is a lonely man in the final stages of his divorce. When he's not working as a letter writer, his down time is spent playing video games and occasionally hanging out with friends. He decides to purchase the new OS1, which is advertised as the world's first artificially intelligent operating system, ""It's not just an operating system, it's a consciousness,"" the ad states. Theodore quickly finds himself drawn in with Samantha, the voice behind his OS1. As they start spending time together they grow closer and closer and eventually find themselves in love. Having fallen in love with his OS, Theodore finds himself dealing with feelings of both great joy and doubt. As an OS, Samantha has powerful intelligence that she uses to help Theodore in ways others hadn't, but how does she help him deal with his inner conflict of being in love with an OS?"	2.058749953967393	True
919	tt0328432	1720060	2357736	Martti Suosalo	Heikki Nousiainen	Miina Turunen	nm0839432	nm0636729	nm0878172	Sibelius	2003	120	Biography,Drama,History	nm0463581	nm0463581	5.2	664	The life story of Jean Sibelius, a Finnish composer.	1.3707281311534882	True
2466	tt0806938	2100000	6633548	Ana Serradilla	José María de Tavira	Ana Layevska	nm0785452	nm0851767	nm0493521	Tired of Kissing Frogs	2006	95	Comedy,Romance	nm2270723	nm3133563,nm0084347,nm0393674,nm3126291	6.1	929	An unlucky-in-love graphic designer catches her boyfriend cheating on her and decides it's better to play the field than settle down.	3.158830876747201	True
4174	tt1618447	3642480	514913	Lola Créton	Sebastian Urzendowsky	Magne-Håvard Brekke	nm1570048	nm0773308	nm0107029	Goodbye First Love	2011	110	Drama,Romance	nm0361135	nm0361135	6.6	4427	Spring of 1999: 15-year-old Camille and 19-year-old Sullivan are mad about each other. Sullivan, however, wants to go to South America for a year and this drives Camille to despair. He leaves in the fall and after a while he stops writing to her. After a suicide attempt, she ends up in the hospital. After four years she works, studies architecture and lives alone. She meets a famous architect, Lorenz, who restores her self-confidence. In 2007, Camille and Lorenz have a strong relationship. She is his assistant but she feels strong enough to set up an agency soon. She develops into a more fully formed woman, with new interests. After 7 years she sees Sullivan again. After their first meeting everything seems to go well, but a few months later the old feelings come back and her heart is torn again.	0.14136326311654066	False
2379	tt0780567	55000000	22985194	Eddie Murphy	Thomas Haden Church	Yara Shahidi	nm0000552	nm0002006	nm2780578	Imagine That	2009	107	Comedy,Drama,Family	nm0456732	nm0004412,nm0558533	5.6	12679	A financial executive who can't stop his career downspiral is invited into his daughter's imaginary world, where solutions to his problems await.	0.4179126105834071	False
4784	tt2082409	6844500	370550	Vikram	Deeksha Seth	K. Viswanath	nm1417314	nm3945751	nm0899649	Rajapattai	2011	127	Action,Comedy	nm3607398	nm4865816,nm3607398,nm4718458	3.1	538	Anal Murugan (Vikram) is a gym boy who wants to become a big villain in cinema. Life takes a turn after he meets Dakshina Moorthy (Vishwanath), a senior citizen. He is on the road running for his life as his son Chidambaram (Avinash) is behind him for a piece of land where an orphanage is being run by Dakshinamurthy. Chidambaram has big plans. He wants to give away the land to Sana (Ranganayaki), a State Minister and a land mafia and thereby enter politics. Now the cudgels fall on Anal Murugan to save the old man and the land. Things become murkier as Vapa aka Abdul Kadhir (Pradeep Rawath), a dreaded don in the guise of noble man enters. Murugan now wages a battle between the corrupt Minister and Vapa. He starts using his brain to outwit them. In between there is a romantic escapade between Murugan and Dharshini (Deeksha Seth).	0.05413835135680454	False
1763	tt0432047	2632500	264217	Amitabh Bachchan	Abhishek Bachchan	Kay Kay Menon	nm0000821	nm0045393	nm1946407	Sarkar	2005	124	Action,Crime,Drama	nm0890060	nm1913302	7.6	14647	Meet Subhash Nagre - a wealthy and influential resident of Bombay. He lives in a palatial house with his wife, Pushpa; sons Vishnu and his wife Amrita and their son; a second son, named Shankar, in the United States. Subhash and his family are thrilled when Shankar returns home, in the company of a gorgeous long-legged young woman named Pooja, who he plans to marry soon. While Subhash adores both his sons, he shows his open disappointment for Vishnu, whose language, childish actions, and his affair with a Bollywood actress named Sapna are just few of his wrong actions. When Vishnu finds out that a Bollywood actor is attempting to start an affair with Sapna, he angrily guns him down in front of several witnesses. Subhash asks Vishnu to leave the house, and thereafter Vishnu is arrested and charged with murder. Then all hell breaks lose in the Nagre household when a politician named Motilal Khurana is killed, and the killer names Subhash as the person who hired him to do this killing. ...	0.10036729330777082	False
156	tt0192255	35000000	27965865	Jonathan Lipnicki	Rollo Weeks	Richard E. Grant	nm0005151	nm0917353	nm0001290	The Little Vampire	2000	95	Adventure,Comedy,Family	nm0248942	nm0814008,nm0456732,nm0933733	5.7	8962	Based on the popular books, the story tells of Tony who wants a friend to add some adventure to his life. What he gets is Rudolph, a vampire kid with a good appetite. The two end up inseparable, but their fun is cut short when all the hopes of the vampire race could be gone forever in single night. With Tony's access to the daytime world, he helps them to find what they've always wanted.	0.7990246914564374	False
3208	tt1148200	3000000	585362	Nikki Reed	Keith David	Brad Dourif	nm1223023	nm0202966	nm0000374	Chain Letter	2009	88	Horror	nm1938064	nm1938064,nm0656003,nm0272090,nm2595239	4.1	4836	A maniac murders teens when they refuse to forward chain mail.	0.19512060162646613	False
52	tt0158622	83000000	59468275	Mark Addy	Stephen Baldwin	Kristen Johnston	nm0004692	nm0000286	nm0005060	The Flintstones in Viva Rock Vegas	2000	90	Comedy,Family,Romance	nm0505152	nm0360253,nm0053484,nm0438226,nm0253323,nm0143596,nm0258390	3.6	19789	The Flintstones are at it again. The Flintstones and the Rubbles head for Rock Vegas with Fred hoping to court the lovely Wilma. Nothing will stand in the way of love, except for the conniving Chip Rockefeller who is the playboy born in Baysville but who has made it in the cutthroat town of Rock Vegas. Will Fred win Wilma's love?	0.7164852323315032	False
313	tt0240890	28000000	77516304	John Cusack	Kate Beckinsale	Jeremy Piven	nm0000131	nm0000295	nm0005315	Serendipity	2001	90	Comedy,Romance	nm0155093	nm0458884	6.9	98922	Jonathan Trager and Sara Thomas met while shopping for gloves in New York. Though buying for their respective lovers, the magic was right and a night of Christmas shopping turned into romance. Jon wanted to explore things further but Sara wasn't sure their love was meant to be. They decided to test fate by splitting up and seeing if destiny brought them back together... Many years later, having lost each other that night, both are engaged to be married. Still, neither can shake the need to give fate one last chance to reunite them. Jon enlists the help of his best man to track down the girl he can't forget starting at the store where they met. Sara asks her new age musician fiance for a break before the wedding and, with her best friend in tow, flies from California to New York hoping destiny will bring her soulmate back. Near-misses and classic Shakespearean confusion bring the two close to meeting a number of times but fate will have the final word on whether it was meant to be.	2.7684393296985954	True
163	tt0195778	15000000	10873148	Chris Klein	Leelee Sobieski	Josh Hartnett	nm0005098	nm0005447	nm0001326	Here on Earth	2000	96	Drama,Romance	nm0686184	nm0782739	5.2	8058	"The lives of three young people - a rich student, a girl from the ""wrong side of the tracks"" and her boyfriend - unexpectedly intersect during one fateful summer in the romantic drama ""Here on Earth."" Kelley Morse (Chris Klein), who is cocky and brash, normally would never have crossed paths with the residents of a small town near his posh private school. But when he takes his shiny new Mercedes out for a drive, he locks horns with some of the locals, including Jasper (Josh Hartnett). As Jasper's willful girlfriend Samantha (Leelee Sobieski) looks on, Kelley and Jasper engage in a dangerous car race that turns disastrous, leaving a popular diner owned by Samantha's mother in ruins. Kelley and Jasper are sentenced to a creatively ironic but fitting punishment: They must help rebuild the diner. Not only does this ruin Kelley's summer plans, he also must board at the home of his rival, Jasper. Kelley begins to fulfill his ""sentence,"" but refuses to have anything to do with Jasper and his..."	0.7248764850082343	False
4434	tt1754656	81200000	97571250	Jeff Bridges	Mackenzie Foy	Rachel McAdams	nm0000313	nm3237775	nm1046097	The Little Prince	2015	108	Adventure,Animation,Drama	nm0651706	nm0109267,nm2130108,nm0756686	7.7	51086	From Mark Osborne comes the first-ever animated feature film adaptation of Antoine de Saint-Exupéry's iconic masterpiece, The Little Prince. At the heart of it all is The Little Girl, who's being prepared by her mother for the very grown-up world in which they live - only to be interrupted by her eccentric, kind-hearted neighbor, The Aviator. The Aviator introduces his new friend to an extraordinary world where anything is possible. A world that he himself was initiated into long ago by The Little Prince. It's here that The Little Girl's magical and emotional journey into her own imagination - and into the universe of The Little Prince - begins. And it's where The Little Girl rediscovers her childhood and learns that ultimately, it's human connections that matter most, and that what's truly essential can only be seen with the heart.	1.2016163645121138	True
5677	tt3672840	65000000	121558738	Jackie Chan	John Cusack	Adrien Brody	nm0000329	nm0000131	nm0004778	Dragon Blade	2015	127	Action,Adventure,Drama	nm0496752	nm0496752	6.0	17042	When corrupt Roman leader Tiberius arrives with a giant army to claim the Silk Road, Huo An and his group of trained warriors teams up with an elite legion of defected Roman soldiers led by General Lucius to maintain the delicate balance of power in the region. To protect his country and his new friends, Huo An gathers the warriors of thirty-six ethnic nations together to fight Tiberius in an incredible epic battle.	1.870134401997932	True
3656	tt1333668	160000	156612	Rupert Isaacson	Kristin Neff	Rowan Isaacson	nm3218998	nm3734401	nm3734446	The Horse Boy	2009	93	Documentary	nm2205492	\N	7.3	648	OVER THE HILLS AND FAR AWAY chronicles the journey of the Isaacson family as they travel through Mongolia in search of a mysterious shaman who they believe can heal their autistic son. This film delves into the strange world of autism, horses, shamanism, and Mongolia while telling the story of a family that will go to the end of the earth to find a way into their son's life.	0.9788188823819852	False
3756	tt1391137	20000000	60673972	Janet Jackson	Tyler Perry	Jill Scott	nm0001390	nm1347153	nm0779325	Why Did I Get Married Too?	2010	121	Comedy,Drama,Romance	nm1347153	nm1347153	4.6	8743	Four couples reunite for their annual vacation in order to socialize and to spend time analyzing their marriages. Their intimate week in the Bahamas is disrupted by the arrival of an ex-husband determined to win back his recently remarried wife.	3.0336984483150777	True
4213	tt1640459	3000000	748453	Rutger Hauer	Pasha Ebrahimi	Robb Wells	nm0000442	nm3395644	nm1036211	Hobo with a Shotgun	2011	86	Action,Comedy,Horror	nm2639032	nm3851113	6.1	42379	A vigilante homeless man pulls into a new city and finds himself trapped in urban chaos, a city where crime rules and where the city's crime boss reigns. Seeing an urban landscape filled with armed robbers, corrupt cops, abused prostitutes and even a pedophile Santa, the Hobo goes about bringing justice to the city the best way he knows how - with a 20-gauge shotgun. Mayhem ensues when he tries to make things better for the future generation. Street justice will indeed prevail.	0.2494842501719166	False
1436	tt0395119	24283200	23482607	Viggo Mortensen	Elena Anaya	Unax Ugalde	nm0001557	nm0025745	nm0880054	Alatriste	2006	145	Adventure,Drama,History	nm0246503	nm0702416,nm0246503,nm4814439	6.1	11748	Spain 17th century.Diego Alatriste, brave and heroic soldier, is fighting under his King's army in the Flandes region. His best mate, Balboa, falls in a trap and near to die ask to Diego, as his last desire, to looking after his son Inigo and grow him as a soldier. Alatriste has to come back to Madrid.	0.967030952797368	False
5208	tt2555958	10530000	1835852	Ajith Kumar	Arya	Nayanthara	nm0015001	nm1951127	nm1521381	Arrambam	2013	157	Action,Drama,Mystery	nm3315387	nm5394336,nm4338863	7.1	8168	The story is set in Mumbai. AK alias Ashok (Ajith) a former bomb disposal specialist and a Dirty Harry type who shoots-the-scums of earth is on a revenge romp. Along with his lady love Maya (Nayanthara), he forcibly ropes in a computer hacker Arjun (Arya) and his lover Anita (Taapsee) into his nefarious plans. How they take revenge on the Home Minister (Mahesh Manjrekar) and his acolytes ( Atul Kulkarni) forms the rest of the story.	0.17434490272128178	False
4077	tt1571401	10118000	6774467	Albrecht Schuch	Baldanpurev Sambuu	Agi Ariunsaichan Dawaachu	nm3477129	nm5714232	nm0205893	Measuring the World	2012	119	Biography,Drama,History	nm0118345	nm2479406,nm0118345	5.8	2508	"Germany in the early 19th century. ""Die Vermessung der Welt"" follows the two brilliant and eccentric scientists Alexander von Humboldt and Carl Friedrich Gauss on their life paths."	0.6695459903591628	False
1846	tt0442486	4047200	301794	Dani Martín	Carlos Iglesias	Nancho Novo	nm1012635	nm0407069	nm0637181	Endless, the Rock Return	2005	108	Comedy,Drama,Music	nm1437390,nm1437994	nm1437390,nm1437994	5.5	95	"Along the 80s years of La Movida Española (The Madrilenian Scene), Sinfín turned in one of the most important music bands of Spain. But in 1990, about to give its greatest concert in the Plaza of Las Ventas in Madrid, the singer Javi dies in his dressing room by drugs overdose, shocking to his friends, partners and the rest of the country. Fifteen years later, Sinfín's former manager Álex is now manager of Javi's younger brother, Iván, who wants to follow the steps of Javi to be a great singer and musician. Playing in road bars and towns' feasts Iván tries find his place in the music as well as himself while Álex plots a great idea: reunite all Sinfín's members to give the concert that they couldn't by Javi's death. Therefore, the mission is more complicated that it seems: drummer Hilario ""Larry"" works playing jingles for commercials, guitarist Nacho is a salesman of a shopping center dominated by his wife Puri, and bassist Rafa is music teacher in a high school. For more troubles, ..."	0.07456857220582817	False
5083	tt2371287	200000	324977	Miles Elliot	Betsy Roth	Josh Berry	nm3823418	nm3360269	nm0077595	Camp	2013	109	Drama	nm2843043	nm2843043,nm1284793,nm5487997	6.9	717	"To impress a potential client, financial adviser Ken Matthews signs up to be a counselor at a camp for children in the foster system. He is paired with Eli, a 10-year-old determined to hate camp. However, when Ken discovers Eli's dark past, his apathy turns to compassion. But is he to late to help the scared boy nobody wants? Inspired by true stories of ordinary people providing extraordinary help for abused and neglected children, ""Camp"" is a tale of hope shining in the dark places for forgotten children. For his performance in the role of Eli, actor Miles Elliot won Best Performance in a Feature Film by a Leading Young Actor at the 35th annual Young Artist Awards."	1.6248768756156218	True
558	tt0280491	2789300	1758689	James Nesbitt	Tim Pigott-Smith	Nicholas Farrell	nm0626362	nm0683116	nm0268297	Bloody Sunday	2002	107	Drama,History,War	nm0339030	nm0339030	7.6	22267	Documentary-style drama showing the events that led up to the tragic incident on January 30, 1972 in the Northern Ireland town of Derry when a protest march led by civil rights activist Ivan Cooper was fired upon by British troops, killing 13 protesters and wounding 14 more.	0.6305124473837711	False
5004	tt2313112	6000000	2890000	Shuying Jiang	Richard de Klerk	Ye Liu	nm5568415	nm0209113	nm1091782	Beijing, New York	2015	103	Drama,Romance	nm1102709	nm1102709	5.2	94	Beijing New York entwines through time, distance and culture. The story is set in the backdrop of the unique cultural timing, 2008 - the highlight of China and downfall of US. It tells an epic yet intimate story about a woman caught in between two men, two countries, dream and reality.	0.4816665863889023	False
5513	tt3280486	1000000	181052	Þorsteinn Bachmann	Sigrún Edda Björnsdóttir	Sigurður Sigurjónsson	nm0045489	nm1904539	nm0797610	The Grandad	2014	90	Comedy,Drama	nm1557914	nm0251033,nm1557914	6.4	65	Guðjón has led a safe life. Suddenly he is faced with retirement, getting older and is forced to take a hard look at his marriage. Dramatic but often hilarious story about crossroads and the meaning of it all.	0.18105181894818104	False
4883	tt2184227	5767260	1132939	Toni Servillo	Isabelle Huppert	Alba Rohrwacher	nm0785842	nm0001376	nm2130040	Dormant Beauty	2012	115	Drama	nm0069166	nm0069166,nm4875142,nm0750048	6.3	1453	A mosaic of several intertwined stories questioning the meaning of life, love and hope, set during the last six days in the life of Eluana Englaro, a young woman who spent 17 years in a vegetative state.	0.19644316426809885	False
5453	tt3128706	60000	21953	Hansel Eagle	Pálmi Gestsson	Finnbogi Dagur Sigurðsson	nm5885380	nm0315191	nm5928393	Albatross	2015	89	Comedy,Drama,Sport	nm5885379	nm5885379	7.0	89	With a B.Sc. in software engineering and a lust for adventure, big city boy Tommi has made solid plans for the future with his girlfriend Rakel. They decide to spend a summer in the Wild West-fjords of Iceland before going to the capital to start a life together. Things change quickly in the Wild West and before he knows it, Tommi has to rely on his colourful co-workers at the Golf Club in Bolungarvík to make it through the summer. That is easier said than done when they're dealing with an extremely demanding boss, nature at it's finest and aggressive wild life.	0.3658772353794104	False
858	tt0319262	125000000	542771772	Dennis Quaid	Jake Gyllenhaal	Emmy Rossum	nm0000598	nm0350453	nm0002536	The Day After Tomorrow	2004	124	Action,Adventure,Sci-Fi	nm0000386	nm0000386,nm0618680	6.4	392279	As Paleoclimatologist Jack Hall is in Antartica, he discovers that a huge ice sheet has sheared off. But what he does not know is that this event will trigger a massive climate shift that will affect the world population. Meanwhile, his son Sam is with friends in New York City to attend an event. There, they discover that it has been raining non-stop for the past three days, and after a series of weather-related disasters begin to occur all over the world, everybody realizes the world is about to enter a new Ice Age and the world population begins trying to evacuate to the warmer climates of the south. Jack makes a daring attempt to rescue his son and his friends who are stuck in New York City and who have managed to survive not only a massive wave but also freezing cold temperatures that could possibly kill them.	4.342174141262607	True
2733	tt0899215	1356999	1616880	Pia Tjelta	Thorbjørn Harr	Torkil Høeg	nm0864663	nm0364028	nm3422931	Mars & Venus	2007	86	Comedy,Romance	nm0197232	nm2017015,nm0197232,nm0549038	5.1	348	"What is happiness? Ida and Mathias are married as the ideal couple. Wedding bells are long gone, and the wedding dress is sold on Ebay. But ""she's from Venus"", and ""he's from Mars"". How can this last?"	1.1915106853352984	True
1806	tt0436889	7082600	22629534	Nina Hoss	Jacky Ido	Katja Flint	nm0396125	nm1784515	nm0282403	The White Massai	2005	131	Drama,Romance	nm0403101	nm1785761,nm0079487,nm0268627,nm0403101,nm0737582,nm0858399	6.5	3479	A girl, Carola, whose vacation in Kenya takes an interesting turn when she becomes infatuated with a Masai. Carola decides to leave her boyfriend to stay with her lover. There, she has to adapt to the Masai's way of life and get used to their food which includes milk mixed with blood. She also has to face her husband's attitude towards women and what he expects from a wife. Nonetheless, Carola is welcomed warmly into the tribe she has chosen to join.	3.1950880756942257	True
4196	tt1630031	330000	762261	Ivan Botha	Cherie van der Merwe	Altus Theart	nm2712811	nm3067275	nm3067673	Bakgat! II	2010	98	Comedy	nm3067348	nm3067348	5.8	97	"The Unitas u/21 rugby team hero, Wimpie Koekemoer, is offered a contract to play rugby in England. Katrien rehearses a play with autistic children, while doing everything in her power to keep Wimpie in the country. Fanie is struggling to get used to Christie's post-high school chubby body and Japie is experiencing a very embarrassing problem in his sexual pursuit of Liezl... Muscle man, Werner ""Killer"" Botha joins the Unitas rugby team and threatens Wimpie's position in the team."	2.309874818561156	True
5789	tt3966404	1315340	5274664	Günes Sensoy	Doga Zeynep Doguslu	Tugba Sunguroglu	nm7322143	nm7322144	nm7322145	Mustang	2015	97	Drama	nm2197025	nm2197025,nm1356951	7.6	31659	Early summer. In a village in northern Turkey, Lale and her four sisters are walking home from school, playing innocently with some boys. The immorality of their play sets off a scandal that has unexpected consequences. The family home is progressively transformed into a prison; instruction in homemaking replaces school and marriages start being arranged. The five sisters who share a common passion for freedom, find ways of getting around the constraints imposed on them.	4.010111446385386	True
5679	tt3678188	1396284	155929	Maria Ylipää	Johannes Brotherus	Riku Nieminen	nm1641293	nm2059197	nm3766000	Urban Family	2015	105	Comedy,Drama,Family	nm2581482	nm4199791	5.1	160	"Selja is in her thirties and lives in a shared flat with her friends. One day a boy appears at her door; a boy she gave up for adoption sixteen years earlier. Selja has a chance to get to know her son, but at the same time, makes a complete mess of her and her best friends' lives. Urban Family is a new kind of music film set in the modern-day world. ""Urban Family"" is a new kind of music film set in the modern-day world. The movie's engaging songs are written precisely for this movie by the very top Finnish songwriters including Paula Vesala, Lauri Ylönen, Olavi Uusivirta, Terhi Kokkonen."	0.11167419258962176	False
